student_id,gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,study_hours_per_week,attendance_rate,math_score,reading_score,writing_score
STU1669,male,group D,high school,standard,completed,8.9,81.5,90,81,77.0
STU1024,male,group E,some college,standard,completed,15.8,92.6,84,85,84.0
STU1798,female,group A,master's degree,standard,none,13.6,92.6,96,100,99.0
STU1471,female,group D,master's degree,free/reduced,completed,5.3,100.0,67,71,68.0
STU1256,female,group B,some college,free/reduced,completed,9.6,91.5,77,86,77.0
STU1560,female,group C,associate's degree,standard,completed,3.6,92.0,77,62,56.0
STU1830,male,group E,some college,standard,completed,5.5,86.5,95,93,88.0
STU1967,male,group C,some college,standard,completed,12.1,81.4,84,81,67.0
STU1491,female,group C,high school,standard,completed,6.8,100.0,100,100,100.0
STU1547,female,group C,some college,standard,completed,7.6,88.5,96,87,88.0
STU1246,male,group B,some high school,standard,none,4.2,89.9,86,88,74.0
STU1122,male,group E,master's degree,standard,completed,10.2,76.9,82,84,77.0
STU1578,female,group C,some college,free/reduced,completed,6.3,86.5,62,81,77.0
STU1706,male,group D,some high school,free/reduced,completed,4.2,92.0,49,57,64.0
STU1689,male,group D,some college,standard,completed,3.0,81.4,81,77,76.0
STU1206,male,group D,high school,free/reduced,none,10.3,98.0,71,66,53.0
STU1639,male,group E,associate's degree,standard,completed,3.7,86.5,74,79,74.0
STU1176,female,group D,high school,free/reduced,none,3.2,100.0,58,58,58.0
STU1785,female,group E,high school,standard,none,4.9,89.2,74,72,71.0
STU1825,female,group C,bachelor's degree,standard,none,3.7,96.9,90,79,70.0
STU1000,male,group B,high school,free/reduced,none,4.0,96.2,63,68,68.0
STU1226,female,group C,high school,standard,none,8.8,84.4,100,100,99.0
STU1959,female,group D,,standard,completed,,82.4,77,72,74.0
STU1760,male,group C,high school,standard,none,3.0,95.7,61,58,47.0
STU1249,female,group C,some high school,standard,completed,10.7,100.0,91,100,94.0
STU1469,female,group D,some college,standard,completed,4.8,79.2,85,74,72.0
STU1108,male,group D,high school,standard,completed,7.2,90.9,69,65,57.0
STU1426,male,group A,some high school,standard,none,3.9,88.7,59,64,60.0
STU1705,female,group B,bachelor's degree,free/reduced,none,11.1,85.8,75,72,63.0
STU1005,male,group D,associate's degree,free/reduced,none,3.4,,76,71,62.0
STU1260,female,group B,associate's degree,standard,none,4.7,80.0,94,81,76.0
STU1952,male,group C,associate's degree,free/reduced,none,9.0,88.1,88,77,62.0
STU1313,female,group D,associate's degree,standard,completed,8.6,84.7,80,65,63.0
STU1596,female,group B,high school,standard,completed,8.9,99.1,63,64,64.0
STU1739,male,group C,some high school,standard,none,2.3,85.5,71,70,64.0
STU1059,male,group D,some college,free/reduced,completed,7.4,67.9,60,64,64.0
STU1345,female,group C,associate's degree,free/reduced,none,4.0,80.8,98,84,70.0
STU1047,female,group A,associate's degree,standard,none,5.0,93.6,67,69,64.0
STU1883,male,group D,some high school,standard,none,3.6,88.0,47,55,51.0
STU1302,female,group A,some college,standard,completed,7.4,76.6,95,96,81.0
STU1819,male,group C,some college,standard,none,8.0,97.3,94,96,80.0
STU1632,female,group D,some high school,standard,completed,6.0,99.1,93,95,85.0
STU1286,male,group A,master's degree,standard,completed,4.0,86.8,100,98,89.0
STU1915,male,group D,associate's degree,standard,completed,6.6,80.5,100,100,99.0
STU1758,female,group B,associate's degree,standard,none,10.7,88.9,82,73,60.0
STU1865,female,group E,associate's degree,standard,none,6.4,83.1,68,59,57.0
STU1678,female,group B,some high school,free/reduced,completed,3.3,91.5,78,82,78.0
STU1312,male,group C,some college,free/reduced,none,6.9,88.9,83,75,64.0
STU1981,female,group D,high school,free/reduced,none,3.6,90.3,65,66,50.0
STU1721,male,group B,associate's degree,free/reduced,none,2.1,83.0,74,79,77.0
STU1979,female,group D,,standard,none,2.9,99.4,62,65,69.0
STU1934,male,group D,associate's degree,standard,none,10.4,78.0,57,60,58.0
STU1734,male,group B,master's degree,standard,none,16.5,81.2,86,86,73.0
STU1725,female,group A,high school,free/reduced,none,10.1,96.0,77,77,83.0
STU1459,male,group D,some college,standard,none,6.8,79.4,70,59,52.0
STU1887,male,group B,some college,standard,completed,5.2,86.2,92,78,65.0
STU1460,male,group C,master's degree,standard,none,10.4,82.6,81,81,78.0
STU1383,female,group B,some college,standard,none,3.6,79.8,64,68,62.0
STU1017,female,group C,bachelor's degree,standard,completed,6.2,80.2,89,77,79.0
STU1817,male,group D,some high school,free/reduced,completed,1.4,92.7,84,77,77.0
STU1042,male,group C,some college,standard,none,4.2,90.5,64,65,57.0
STU1891,female,group C,associate's degree,standard,none,5.3,87.7,72,68,68.0
STU1936,male,group B,associate's degree,standard,completed,5.3,91.1,83,74,71.0
STU1903,female,group A,some college,standard,none,2.0,84.9,58,55,44.0
STU1971,female,group D,high school,standard,completed,12.1,76.8,93,89,91.0
STU1511,male,group D,bachelor's degree,standard,none,10.0,95.4,81,63,59.0
STU1076,female,group C,high school,free/reduced,none,1.3,100.0,68,62,46.0
STU1141,male,group C,some college,free/reduced,none,8.2,80.7,56,60,61.0
STU1957,male,group C,bachelor's degree,standard,none,10.9,82.4,78,75,65.0
STU1585,male,group B,associate's degree,standard,completed,5.5,83.8,100,88,75.0
STU1906,female,group E,master's degree,standard,completed,3.9,84.8,100,97,89.0
STU1861,male,group D,high school,standard,completed,4.3,83.0,73,80,80.0
STU1787,male,group C,high school,standard,completed,8.4,,92,83,90.0
STU1856,male,group D,high school,standard,none,6.3,81.0,69,60,56.0
STU1152,male,group D,associate's degree,free/reduced,completed,6.0,76.2,76,87,85.0
STU1032,male,group B,some college,free/reduced,none,5.9,88.9,50,41,38.0
STU1015,male,group E,some college,standard,none,11.8,89.6,84,78,64.0
STU1435,female,group A,some college,standard,none,4.8,86.8,75,62,57.0
STU1498,female,group C,master's degree,standard,none,4.3,90.3,67,64,62.0
STU1619,female,group D,high school,standard,completed,7.2,79.7,73,80,68.0
STU1505,male,group C,some high school,standard,none,4.2,88.4,64,59,52.0
STU1997,male,group A,high school,standard,none,2.5,100.0,70,73,60.0
STU1403,female,group D,high school,standard,none,1.7,78.8,71,68,58.0
STU1659,female,group C,associate's degree,free/reduced,completed,4.4,88.0,74,86,87.0
STU1450,female,group C,high school,standard,none,5.1,74.2,76,73,69.0
STU1766,female,group D,some college,standard,completed,5.1,87.5,34,45,51.0
STU1035,female,group D,some college,standard,completed,3.9,87.4,70,82,78.0
STU1225,male,group D,some college,free/reduced,completed,7.4,92.8,100,96,
STU1172,female,group D,high school,standard,none,6.7,80.9,71,60,59.0
STU1241,female,group D,some high school,standard,none,3.9,70.8,75,85,79.0
STU1529,female,group C,master's degree,standard,none,3.4,94.2,90,86,82.0
STU1343,male,group D,some college,standard,completed,2.8,81.8,92,100,93.0
STU1156,female,group B,high school,free/reduced,none,7.1,69.9,57,54,50.0
STU1911,male,group E,some high school,standard,none,3.0,82.6,66,65,57.0
STU1748,female,group D,bachelor's degree,standard,none,7.5,93.5,75,77,75.0
STU1893,male,group B,associate's degree,standard,none,4.7,71.6,83,75,66.0
STU1991,female,group B,bachelor's degree,standard,none,7.4,68.1,78,72,66.0
STU1506,female,group C,bachelor's degree,free/reduced,completed,4.1,82.0,74,61,51.0
STU1989,female,group D,bachelor's degree,free/reduced,completed,2.9,96.7,95,97,82.0
STU1555,male,group B,master's degree,standard,none,5.9,93.6,88,93,83.0
STU1215,male,group B,high school,standard,completed,7.7,97.3,94,90,82.0
STU1208,male,group B,high school,standard,none,4.7,77.4,50,69,59.0
STU1064,male,group C,some high school,standard,completed,9.0,100.0,88,93,88.0
STU1010,male,group B,some high school,standard,none,6.0,88.2,45,48,36.0
STU1940,male,group A,high school,free/reduced,none,14.4,91.0,73,67,56.0
STU1623,female,group E,bachelor's degree,free/reduced,completed,4.5,86.1,93,91,99.0
STU1992,male,group C,some college,free/reduced,none,7.6,84.0,86,82,77.0
STU1178,female,group D,associate's degree,free/reduced,none,4.9,92.0,45,38,35.0
STU1252,female,group B,associate's degree,standard,none,10.6,100.0,66,60,48.0
STU1605,male,group C,some college,standard,completed,5.9,84.4,49,56,62.0
STU1603,male,group C,high school,standard,none,2.5,88.7,74,69,62.0
STU1805,female,group D,master's degree,free/reduced,none,3.2,93.6,59,53,42.0
STU1261,female,group D,,standard,completed,1.0,92.2,97,80,69.0
STU1100,male,group A,bachelor's degree,standard,none,5.4,79.2,66,56,48.0
STU1167,male,group C,some high school,standard,none,5.6,96.7,48,54,53.0
STU1577,female,group D,associate's degree,standard,none,12.3,88.2,65,70,66.0
STU1314,female,group C,master's degree,standard,completed,5.6,88.0,83,92,90.0
STU1753,male,group B,some college,free/reduced,none,6.2,100.0,66,69,62.0
STU1872,female,group C,bachelor's degree,standard,none,13.7,87.5,89,87,79.0
STU1518,female,group B,associate's degree,standard,none,12.2,83.4,79,74,63.0
STU1882,male,group D,high school,free/reduced,completed,8.4,94.1,90,90,86.0
STU1661,female,group C,bachelor's degree,standard,none,5.6,82.7,70,69,60.0
STU1987,male,group C,some college,standard,none,7.0,,55,53,49.0
STU1644,male,group A,some high school,free/reduced,completed,9.7,90.9,68,66,68.0
STU1446,female,group D,high school,free/reduced,none,13.7,100.0,70,59,61.0
STU1939,female,group A,some high school,standard,completed,1.5,82.7,55,49,48.0
STU1367,female,group E,,standard,none,5.1,82.3,55,49,41.0
STU1145,male,group E,bachelor's degree,standard,completed,3.9,91.0,76,66,56.0
STU1362,male,group D,high school,free/reduced,completed,2.8,88.6,76,86,81.0
STU1660,male,group C,some college,standard,none,5.0,75.3,64,51,51.0
STU1895,male,group D,bachelor's degree,free/reduced,none,14.1,99.6,90,97,84.0
STU1930,male,group C,associate's degree,free/reduced,none,2.4,94.9,64,58,57.0
STU1764,male,group B,some high school,standard,none,5.0,96.0,65,68,54.0
STU1321,female,group B,associate's degree,standard,completed,4.3,94.8,82,82,72.0
STU1185,female,group E,bachelor's degree,standard,none,5.6,73.0,100,100,87.0
STU1653,female,group C,some high school,standard,completed,6.2,98.1,70,82,77.0
STU1132,male,group A,some college,free/reduced,completed,7.3,83.5,70,77,74.0
STU1868,female,group B,high school,free/reduced,none,10.4,77.7,61,50,51.0
STU1630,female,group D,associate's degree,free/reduced,none,8.3,83.9,74,82,75.0
STU1756,female,group E,some college,standard,none,4.8,91.2,79,71,59.0
STU1799,female,group A,high school,standard,none,2.7,91.7,67,82,71.0
STU1886,female,group A,some college,free/reduced,none,3.9,76.5,52,55,56.0
STU1119,female,group B,bachelor's degree,standard,completed,7.8,84.2,73,69,66.0
STU1990,female,group D,high school,standard,completed,9.5,,82,81,77.0
STU1038,female,group A,high school,standard,completed,3.0,100.0,81,74,51.0
STU1840,male,group C,some college,standard,completed,5.7,100.0,75,69,61.0
STU1493,male,group A,some college,free/reduced,completed,2.8,85.4,54,60,63.0
STU1929,male,group A,some college,standard,completed,10.1,83.0,74,83,80.0
STU1338,male,group A,some high school,standard,none,5.1,92.6,88,87,76.0
STU1818,male,group D,some high school,free/reduced,completed,7.1,87.9,64,77,70.0
STU1084,male,group E,some college,free/reduced,none,2.9,81.5,37,39,36.0
STU1224,male,group C,some high school,standard,none,6.0,87.0,68,60,56.0
STU1019,male,group A,associate's degree,free/reduced,none,12.8,78.1,64,64,59.0
STU1072,male,group A,high school,standard,none,4.7,97.4,59,61,59.0
STU1418,female,group C,some high school,standard,none,7.9,100.0,82,81,73.0
STU1075,female,group C,bachelor's degree,free/reduced,none,14.2,85.1,95,83,79.0
STU1380,male,group B,bachelor's degree,standard,none,3.2,91.8,82,96,83.0
STU1873,male,group D,some college,free/reduced,none,,,63,65,50.0
STU1385,female,group C,associate's degree,free/reduced,none,4.1,81.3,64,67,
STU1452,male,group E,some college,free/reduced,completed,4.1,87.5,72,73,67.0
STU1264,female,group A,associate's degree,free/reduced,completed,7.2,97.2,88,94,79.0
STU1040,male,group C,bachelor's degree,standard,completed,5.6,93.6,56,52,44.0
STU1428,male,group D,high school,free/reduced,none,6.2,89.1,66,65,51.0
STU1160,male,group D,associate's degree,standard,none,15.5,76.8,57,54,47.0
STU1110,male,group D,high school,standard,none,13.9,76.1,99,92,80.0
STU1303,female,group C,high school,standard,none,3.1,88.6,95,84,73.0
STU1963,male,group C,master's degree,standard,completed,2.0,79.4,100,94,84.0
STU1048,female,group E,some college,standard,completed,13.7,78.1,94,91,83.0
STU1509,female,group D,bachelor's degree,standard,completed,6.4,80.5,77,76,69.0
STU1018,male,group E,some high school,standard,none,7.9,87.6,80,83,73.0
STU1043,female,group D,some high school,standard,none,5.6,77.6,79,66,68.0
STU1273,female,group A,associate's degree,standard,none,8.7,94.7,90,77,65.0
STU1443,male,group C,bachelor's degree,free/reduced,none,6.0,85.9,82,73,64.0
STU1090,male,group E,associate's degree,standard,completed,9.7,79.1,68,71,65.0
STU1885,male,group C,master's degree,free/reduced,completed,3.3,100.0,100,92,86.0
STU1456,male,group D,some college,standard,completed,8.6,87.8,81,76,73.0
STU1275,female,group B,associate's degree,free/reduced,none,3.5,75.3,90,87,75.0
STU1846,male,group B,associate's degree,free/reduced,completed,2.1,90.0,52,61,61.0
STU1672,male,group E,associate's degree,free/reduced,completed,10.4,92.2,77,73,68.0
STU1114,female,group C,associate's degree,standard,none,6.2,100.0,72,73,67.0
STU1328,male,group D,associate's degree,standard,none,3.2,88.4,92,89,80.0
STU1580,male,group B,some high school,standard,completed,9.7,78.1,78,84,77.0
STU1465,male,group A,high school,free/reduced,none,11.3,84.2,77,74,71.0
STU1727,female,group E,high school,standard,completed,9.3,89.0,71,60,67.0
STU1904,male,group D,some college,free/reduced,completed,5.8,91.1,67,61,56.0
STU1131,male,group C,some high school,free/reduced,none,4.3,73.6,58,53,42.0
STU1001,female,group C,high school,free/reduced,completed,0.8,86.5,58,50,43.0
STU1699,female,group C,associate's degree,standard,completed,1.4,67.1,57,52,57.0
STU1227,male,group B,associate's degree,standard,completed,8.3,100.0,83,82,80.0
STU1690,male,group B,some college,free/reduced,none,2.3,98.4,49,55,49.0
STU1839,female,group B,some college,free/reduced,none,7.2,77.4,69,63,54.0
STU1693,male,group B,some college,standard,none,4.4,92.1,79,77,72.0
STU1133,male,group B,some college,standard,none,4.5,83.2,77,89,80.0
STU1735,female,group E,associate's degree,standard,none,6.9,84.1,79,56,57.0
STU1248,female,group E,associate's degree,free/reduced,none,3.0,80.0,44,48,41.0
STU1283,male,group A,some high school,free/reduced,none,8.6,81.1,75,62,56.0
STU1496,female,group C,some college,free/reduced,none,,94.6,69,60,52.0
STU1680,female,group C,high school,free/reduced,none,5.2,73.6,52,63,51.0
STU1335,male,group D,some college,free/reduced,none,7.3,96.8,72,70,65.0
STU1439,male,group D,high school,free/reduced,none,5.7,89.1,68,62,60.0
STU1263,female,group C,some college,standard,none,10.0,89.4,85,70,69.0
STU1142,female,group D,associate's degree,standard,none,6.8,98.2,77,61,56.0
STU1245,female,group D,some college,standard,completed,7.1,93.0,96,91,82.0
STU1812,male,group B,associate's degree,standard,none,1.0,88.7,85,91,81.0
STU1027,female,group D,master's degree,standard,none,1.1,94.8,73,86,75.0
STU1441,female,group A,some college,standard,completed,10.0,77.4,82,79,77.0
STU1138,male,group C,high school,standard,completed,10.8,82.9,92,89,84.0
STU1363,female,group D,some college,standard,none,8.1,93.9,70,53,55.0
STU1089,male,group B,some college,standard,none,12.2,90.1,100,100,95.0
STU1838,female,group E,associate's degree,free/reduced,none,3.9,86.9,50,52,38.0
STU1923,female,group C,high school,standard,completed,7.4,100.0,67,82,85.0
STU1023,male,group E,some high school,standard,completed,1.1,79.7,42,50,54.0
STU1608,female,group B,associate's degree,free/reduced,completed,8.8,80.6,68,64,59.0
STU1079,male,group E,associate's degree,free/reduced,none,9.5,99.5,54,57,47.0
STU1125,male,group C,associate's degree,standard,completed,3.0,83.9,69,75,70.0
STU1704,male,group C,associate's degree,free/reduced,none,9.1,77.2,61,60,46.0
STU1242,female,group D,associate's degree,standard,completed,4.5,91.6,97,100,100.0
STU1370,male,group E,associate's degree,standard,none,5.0,78.9,71,76,58.0
STU1683,female,group D,some college,standard,none,5.9,82.6,52,43,38.0
STU1326,female,group B,bachelor's degree,free/reduced,none,4.1,100.0,97,86,80.0
STU1579,male,group C,associate's degree,standard,completed,2.5,97.7,87,65,60.0
STU1657,male,group C,bachelor's degree,standard,none,4.0,94.0,80,89,83.0
STU1504,female,group C,,free/reduced,none,1.0,,62,61,61.0
STU1408,female,group C,master's degree,standard,none,5.1,84.1,37,37,33.0
STU1416,male,group A,some college,standard,none,10.0,76.2,91,84,67.0
STU1081,female,group A,some high school,free/reduced,none,2.7,81.3,31,39,41.0
STU1468,male,group E,some college,free/reduced,completed,22.4,83.6,60,94,90.0
STU1231,female,group B,some high school,standard,none,4.2,77.0,65,58,51.0
STU1501,female,group C,associate's degree,free/reduced,none,6.1,68.1,71,73,61.0
STU1037,male,group D,high school,free/reduced,completed,8.4,75.0,69,69,57.0
STU1842,male,group C,bachelor's degree,standard,none,4.1,89.3,67,67,55.0
STU1897,female,group B,high school,free/reduced,none,1.7,,62,80,81.0
STU1140,female,group D,bachelor's degree,standard,none,0.3,90.9,76,45,39.0
STU1546,male,group D,some high school,standard,none,7.0,78.3,61,62,56.0
STU1900,male,group C,some high school,standard,none,5.3,84.9,87,75,66.0
STU1637,male,group B,associate's degree,standard,completed,18.8,84.6,83,82,87.0
STU1236,male,group E,bachelor's degree,standard,none,8.5,90.7,76,79,71.0
STU1813,female,group A,high school,standard,none,6.2,85.0,86,73,68.0
STU1416,male,group A,some college,standard,none,10.0,76.2,91,84,67.0
STU1765,female,group C,master's degree,standard,completed,1.9,97.5,100,100,100.0
STU1688,female,group C,some college,standard,none,4.5,78.9,67,65,64.0
STU1604,male,group A,some high school,standard,completed,11.8,93.5,72,86,
STU1621,male,group A,bachelor's degree,standard,completed,2.7,93.9,100,97,87.0
STU1792,female,group C,some college,standard,none,3.2,97.0,61,64,59.0
STU1850,male,group B,associate's degree,standard,completed,4.9,85.8,70,69,64.0
STU1583,male,group C,some college,free/reduced,completed,6.6,93.7,97,85,85.0
STU1673,female,group D,high school,standard,none,4.5,98.7,76,100,95.0
STU1332,male,group B,associate's degree,standard,none,9.1,89.4,74,79,65.0
STU1269,male,group B,some college,free/reduced,completed,8.7,83.0,49,60,57.0
STU1951,female,group B,associate's degree,free/reduced,none,4.1,87.6,91,81,77.0
STU1337,female,group D,some college,free/reduced,completed,7.5,84.0,46,54,51.0
STU1091,female,group D,master's degree,free/reduced,none,4.9,97.6,84,77,67.0
STU1080,female,group D,some high school,free/reduced,completed,6.2,89.8,59,62,61.0
STU1703,male,group C,some high school,free/reduced,none,6.4,85.4,66,58,53.0
STU1921,female,group A,associate's degree,standard,completed,13.3,90.7,90,99,85.0
